Country Name,Series Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,Cost to get electricity (% of income per capita),..,..,..,..,614.5,614.9,585.6,573.7,543.3,474,499.8,515.5
Albania,Cost to import (deflated US$ per container),..,..,..,..,..,..,..,..,..,..,..,..
Albania,Cost to import: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,10,10,10
Albania,Cost to register property (% of property value),17.4,16.2,15.2,14.4,13.1,13.9,12,11.4,11.1,9.9,10.2,9.9
Albania,Cost to start a business (% of income per capita),31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,10.1
Albania,Credit: Strength of legal rights index (0=weak to 10=strong),..,..,..,..,..,..,..,..,8,7,7,7
Albania,Creditor participation index (0-4),..,..,..,..,..,..,..,..,..,..,..,..
Albania,Depth of credit information index (0=low to 6=high),..,..,..,..,..,..,..,..,6,6,6,6
Albania,Ease of doing business index (1=easiest to 185=most difficult),..,..,..,..,..,..,..,..,..,..,90,58
Albania,Ease of shareholder suits index (0 to 10),..,..,..,..,..,..,..,..,7,7,7,7
Albania,Extent of conflict of interest regulation index (0-10),..,..,..,..,..,..,..,..,7,7,7.7,7.7
Albania,Extent of corporate transparency index (0-9),..,..,..,..,..,..,..,..,7,7,7,7
Albania,Extent of director liability index (0 to 10),5,4,4,7,7,7,7,7,7,7,7,7
Albania,Extent of disclosure index (0 to 10),0,0,0,7,7,7,7,7,7,7,9,9
Albania,Extent of shareholder governance index (0-10),..,..,..,..,..,..,..,..,6.7,6.7,6.7,6.7
Albania,Extent of shareholder rights index (0-10.5),..,..,..,..,..,..,..,..,7,7,7,7
Albania,Labor tax and contributions (%),..,..,..,..,..,..,..,..,25.3,18.8,18.8,18.8
Albania,Minimum paid-in capital required to start a business (% of income per capita),39.9,36.7,34.3,0,0,0,0,0,0,0,0,0
Albania,Other taxes (%),..,..,..,..,..,..,..,..,..,3.1,3.6,3.6
Albania,Outcome (0 as piecemeal sale and 1 as going concern),..,..,..,..,..,..,0,0,0,0,0,0
Albania,Postfiling index (0-100),..,..,..,..,..,..,..,..,..,..,83,83
Albania,Private credit bureau coverage (% of adults),0,0,0,0,0,0,0,0,0,0,0,0
Albania,Procedures required to build a warehouse (number),22,22,22,22,22,22,-1,-1,-1,20,-1,16
Albania,Procedures required to connect to electricity (number),..,..,..,..,6,6,6,6,6,6,6,6
Albania,Procedures required to enforce a contract (number),..,..,..,..,..,..,..,..,..,..,..,..
Albania,Procedures required to register property (number),6,6,6,6,6,6,6,6,6,6,6,6
Albania,Procedures required to start a business - Women (number),12,12,11,8,6,6,6,5,5,5,5,5
Albania,Procedures required to start a business (number),12,12,11,8,6,6,6,5,5,5,5,5
Albania,Profit tax (%),58.2,56.5,51.3,49.6,43.6,40.3,38.3,38.5,31.5,31.4,36.5,36.5
Albania,Public credit registry coverage (% of adults),0,0,0,6.8,9.9,12.3,17,19.7,13.1,16.7,27.1,38.9
Albania,Quality of the land administration index (0-30),..,..,..,..,..,..,..,..,..,15.5,15.5,15.5
Albania,Reliability of supply and transparency of tariff index (0-8),..,..,..,..,..,..,..,..,..,0,0,0
Albania,Resolving Insolvency: cost (% of estate),10,10,10,10,10,10,10,10,10,10,10,10
Albania,Resolving Insolvency: recovery rate (cents on the dollar),40,39.1,36.8,38.7,38.7,38.9,40.2,39.6,40.7,41.5,42.3,42.3
Albania,Strength of governance structure index (0-10.5),..,..,..,..,..,..,..,..,6.7,6.7,6.7,6.7
Albania,Strength of insolvency framework index (0-16),..,..,..,..,..,..,..,..,13.5,13.5,13.5,13.5
Albania,Strength of investor protection index (0 to 10),..,..,..,..,..,..,..,..,6.8,6.8,7.2,7.2
Albania,Tax payments (number),45,44,44,44,44,44,44,44,42,34,34,34
Albania,Time required to build a warehouse (days),351,351,350,350,350,350,-1,-1,-1,258,-1,220
Albania,Time required to connect to electricity (days),..,..,..,..,177,177,177,177,177,177,177,134
Albania,Time required to enforce a contract (days),390,390,390,390,390,390,390,450,525,525,525,525
Albania,Time required to register property (days),42,42,42,42,42,42,33,33,33,22,22,19
Albania,Time required to start a business - Women (days),41,39,37,10,6,6,6,5,5,5,5,5
Albania,Time required to start a business (days),41,39,37,10,6,6,6,5,5,5,5,5
Albania,Time to export: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,6,6,6
Albania,Time to import: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,8,8,8
Albania,Time to prepare and pay taxes (hours),364,364,364,368,368,360,371,357,357,357,357,261
Albania,Time to resolve insolvency (years),..,..,..,..,..,..,..,..,..,2,2,2
Albania,Total tax rate (% of profit),58.2,56.5,51.3,49.6,43.6,40.3,38.3,38.5,31.5,31.4,36.5,36.5
Albania,Trade: Cost to export (US$ per container),..,..,..,..,..,..,..,..,..,30,30,55
Albania,Trade: Cost to import (US$ per container),..,..,..,..,..,..,..,..,..,52,52,77
Albania,Trade: Time to export (day),..,..,..,..,..,..,..,..,..,14,8,9
Albania,Trade: Time to import (days),..,..,..,..,..,..,..,..,..,9,9,10
Algeria,Building quality control index (0-15),..,..,..,..,..,..,..,..,..,10,10,10
Algeria,Cost – Women (% of income per capita),12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11,10.9,11.1
Algeria,Cost to build a warehouse (% of income per capita),1.8,1.5,1.5,1.2,1.1,1.2,1.1,0.9,1,0.9,0.9,0.9
Algeria,Cost to enforce a contract (% of claim),21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,19.9,19.9,19.9
Algeria,Cost to export: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,374,374,374
Algeria,Cost to get electricity (% of income per capita),..,..,..,..,1599,1777.3,1581.5,1492.1,1565.2,1320.5,1295.5,1330.4
Algeria,Cost to import (deflated US$ per container),..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Cost to import: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,400,400,400
Algeria,Cost to register property (% of property value),7.5,7.5,7.5,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
Algeria,Cost to start a business (% of income per capita),12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11,10.9,11.1
Algeria,Credit: Strength of legal rights index (0=weak to 10=strong),..,..,..,..,..,..,..,..,2,2,2,2
Algeria,Creditor participation index (0-4),..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Depth of credit information index (0=low to 6=high),..,..,..,..,..,..,..,..,0,0,0,0
Algeria,Ease of doing business index (1=easiest to 185=most difficult),..,..,..,..,..,..,..,..,..,..,163,156
Algeria,Ease of shareholder suits index (0 to 10),..,..,..,..,..,..,..,..,5,5,5,5
Algeria,Extent of conflict of interest regulation index (0-10),..,..,..,..,..,..,..,..,3.3,3.3,3.3,3.3
Algeria,Extent of corporate transparency index (0-9),..,..,..,..,..,..,..,..,2,2,2,2
Algeria,Extent of director liability index (0 to 10),1,1,1,1,1,1,1,1,1,1,1,1
Algeria,Extent of disclosure index (0 to 10),4,4,4,4,4,4,4,4,4,4,4,4
Algeria,Extent of shareholder governance index (0-10),..,..,..,..,..,..,..,..,3.3,3.3,3.3,3.3
Algeria,Extent of shareholder rights index (0-10.5),..,..,..,..,..,..,..,..,3,3,3,3
Algeria,Labor tax and contributions (%),..,..,..,..,..,..,..,..,29.7,30.6,30.6,30.6
Algeria,Minimum paid-in capital required to start a business (% of income per capita),55.1,46,45.2,36.6,31,34.4,30.6,27.2,28.6,24.1,23.6,0
Algeria,Other taxes (%),..,..,..,..,..,..,..,..,..,35.5,35.5,35.5
Algeria,Outcome (0 as piecemeal sale and 1 as going concern),..,..,..,..,..,..,0,0,0,0,0,0
Algeria,Postfiling index (0-100),..,..,..,..,..,..,..,..,..,..,49.3,49.3
Algeria,Private credit bureau coverage (% of adults),0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Procedures required to build a warehouse (number),18,18,18,18,18,18,18,18,18,18,17,17
Algeria,Procedures required to connect to electricity (number),..,..,..,..,5,5,5,5,5,5,5,5
Algeria,Procedures required to enforce a contract (number),..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Procedures required to register property (number),14,14,14,14,10,10,10,10,10,10,10,10
Algeria,Procedures required to start a business - Women (number),13,13,13,13,13,13,13,13,13,13,12,12
Algeria,Procedures required to start a business (number),13,13,13,13,13,13,13,13,13,13,12,12
Algeria,Profit tax (%),76.9,76.9,74.2,74.4,73,73,73,72.8,72.7,72.7,72.7,65.6
Algeria,Public credit registry coverage (% of adults),0,0.2,0.2,0.2,0.2,0.2,0.3,2.3,2.4,2,1.9,3
Algeria,Quality of the land administration index (0-30),..,..,..,..,..,..,..,..,..,7,7,7
Algeria,Reliability of supply and transparency of tariff index (0-8),..,..,..,..,..,..,..,..,..,4,4,5
Algeria,Resolving Insolvency: cost (% of estate),7,7,7,7,7,7,7,7,7,7,7,7
Algeria,Resolving Insolvency: recovery rate (cents on the dollar),50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8
Algeria,Strength of governance structure index (0-10.5),..,..,..,..,..,..,..,..,3.3,3.3,3.3,3.3
Algeria,Strength of insolvency framework index (0-16),..,..,..,..,..,..,..,..,6.5,6.5,6.5,6.5
Algeria,Strength of investor protection index (0 to 10),..,..,..,..,..,..,..,..,3.3,3.3,3.3,3.3
Algeria,Tax payments (number),39,39,27,27,27,27,27,27,27,27,27,27
Algeria,Time required to build a warehouse (days),205,205,205,205,205,205,205,205,205,205,220,130
Algeria,Time required to connect to electricity (days),..,..,..,..,158,158,158,158,180,180,180,180
Algeria,Time required to enforce a contract (days),630,630,630,630,630,630,630,630,630,630,630,630
Algeria,Time required to register property (days),74,74,74,74,55,55,55,55,55,55,55,55
Algeria,Time required to start a business - Women (days),24,24,24,24,24,24,24,24,24,22,20,20
Algeria,Time required to start a business (days),24,24,24,24,24,24,24,24,24,22,20,20
Algeria,Time to export: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,149,149,149
Algeria,Time to import: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,249,249,249
Algeria,Time to prepare and pay taxes (hours),451,451,451,451,451,451,451,451,451,385,385,265
Algeria,Time to resolve insolvency (years),..,..,..,..,..,..,..,..,..,1.3,1.3,1.3
Algeria,Total tax rate (% of profit),76.9,76.9,74.2,74.4,73,73,73,72.8,72.7,72.7,72.7,65.6
Algeria,Trade: Cost to export (US$ per container),..,..,..,..,..,..,..,..,..,593,593,593
Algeria,Trade: Cost to import (US$ per container),..,..,..,..,..,..,..,..,..,466,466,466
Algeria,Trade: Time to export (day),..,..,..,..,..,..,..,..,..,118,118,118
Algeria,Trade: Time to import (days),..,..,..,..,..,..,..,..,..,327,327,327
Angola,Building quality control index (0-15),..,..,..,..,..,..,..,..,..,6,6,6
Angola,Cost – Women (% of income per capita),653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,22.5,27.5
Angola,Cost to build a warehouse (% of income per capita),0.4,0.3,0.3,0.2,0.1,0.2,0.7,0.6,0.5,0.5,0.5,0.6
Angola,Cost to enforce a contract (% of claim),44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4
Angola,Cost to export: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,240,240,240
Angola,Cost to get electricity (% of income per capita),..,..,..,..,1099.1,1278.5,890.5,754.9,689.7,660,615,1195.7
Angola,Cost to import (deflated US$ per container),..,..,..,..,..,..,..,..,..,..,..,..
Angola,Cost to import: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,460,460,460
Angola,Cost to register property (% of property value),11.8,11.8,11.5,11.6,11.4,11.5,4,3.1,3,3,2.9,3
Angola,Cost to start a business (% of income per capita),653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,22.5,27.5
Angola,Credit: Strength of legal rights index (0=weak to 10=strong),..,..,..,..,..,..,..,..,1,1,1,1
Angola,Creditor participation index (0-4),..,..,..,..,..,..,..,..,..,..,..,..
Angola,Depth of credit information index (0=low to 6=high),..,..,..,..,..,..,..,..,0,0,0,0
Angola,Ease of doing business index (1=easiest to 185=most difficult),..,..,..,..,..,..,..,..,..,..,181,182
Angola,Ease of shareholder suits index (0 to 10),..,..,..,..,..,..,..,..,6,6,6,6
Angola,Extent of conflict of interest regulation index (0-10),..,..,..,..,..,..,..,..,5.3,5.3,5.3,5.3
Angola,Extent of corporate transparency index (0-9),..,..,..,..,..,..,..,..,4,4,4,4
Angola,Extent of director liability index (0 to 10),6,6,6,6,6,6,6,6,6,6,6,6
Angola,Extent of disclosure index (0 to 10),4,4,4,4,4,4,4,4,4,4,4,4
Angola,Extent of shareholder governance index (0-10),..,..,..,..,..,..,..,..,5.7,5.7,5.7,5.7
Angola,Extent of shareholder rights index (0-10.5),..,..,..,..,..,..,..,..,7,7,7,7
Angola,Labor tax and contributions (%),..,..,..,..,..,..,..,..,9,9,9,9
Angola,Minimum paid-in capital required to start a business (% of income per capita),100.1,74.1,50.5,39.1,29,28.7,25.3,24.6,21.8,20,18.9,0
Angola,Other taxes (%),..,..,..,..,..,..,..,..,..,17.7,17.7,17.7
Angola,Outcome (0 as piecemeal sale and 1 as going concern),-1,..,..,..,..,..,-1,-1,-1,-1,-1,-1
Angola,Postfiling index (0-100),..,..,..,..,..,..,..,..,..,..,28,28
Angola,Private credit bureau coverage (% of adults),0,0,0,0,0,0,0,0,0,0,0,0
Angola,Procedures required to build a warehouse (number),12,12,12,10,10,10,10,10,10,10,10,10
Angola,Procedures required to connect to electricity (number),..,..,..,..,9,9,9,7,7,7,7,7
Angola,Procedures required to enforce a contract (number),..,..,..,..,..,..,..,..,..,..,..,..
Angola,Procedures required to register property (number),7,7,7,7,7,7,7,7,7,7,7,7
Angola,Procedures required to start a business - Women (number),12,12,12,8,8,8,8,8,8,8,8,8
Angola,Procedures required to start a business (number),12,12,12,8,8,8,8,8,8,8,8,8
Angola,Profit tax (%),52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52,52.6,49,48
Angola,Public credit registry coverage (% of adults),2.9,2.9,2.3,2.7,2.5,2.4,1.8,1.8,2.4,1.8,3.3,1.9
Angola,Quality of the land administration index (0-30),..,..,..,..,..,..,..,..,..,7,7,7
Angola,Reliability of supply and transparency of tariff index (0-8),..,..,..,..,..,..,..,..,..,0,0,0
Angola,Resolving Insolvency: cost (% of estate),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Angola,Resolving Insolvency: recovery rate (cents on the dollar),0,0,0,0,0,0,0,0,0,0,0,0
Angola,Strength of governance structure index (0-10.5),..,..,..,..,..,..,..,..,5.7,5.7,5.7,5.7
Angola,Strength of insolvency framework index (0-16),..,..,..,..,..,..,..,..,0,0,0,0
Angola,Strength of investor protection index (0 to 10),..,..,..,..,..,..,..,..,5.5,5.5,5.5,5.5
Angola,Tax payments (number),32,32,32,32,32,32,32,32,32,32,32,31
Angola,Time required to build a warehouse (days),283,283,283,273,265,203,203,203,203,203,203,203
Angola,Time required to connect to electricity (days),..,..,..,..,159,159,159,145,145,145,145,145
Angola,Time required to enforce a contract (days),1011,1011,1011,1190,1250,1296,1296,1296,1296,1296,1296,1296
Angola,Time required to register property (days),335,335,335,335,190,190,190,190,190,190,190,190
Angola,Time required to start a business - Women (days),83,83,83,68,68,66,66,66,66,66,36,36
Angola,Time required to start a business (days),83,83,83,68,68,66,66,66,66,66,36,36
Angola,Time to export: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,169,169,169
Angola,Time to import: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,180,180,180
Angola,Time to prepare and pay taxes (hours),284,284,284,284,284,294,294,294,294,294,294,287
Angola,Time to resolve insolvency (years),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Angola,Total tax rate (% of profit),52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52,52.6,49,48
Angola,Trade: Cost to export (US$ per container),..,..,..,..,..,..,..,..,..,735,735,735
Angola,Trade: Cost to import (US$ per container),..,..,..,..,..,..,..,..,..,935,935,935
Angola,Trade: Time to export (day),..,..,..,..,..,..,..,..,..,240,240,240
Angola,Trade: Time to import (days),..,..,..,..,..,..,..,..,..,276,276,276
Antigua and Barbuda,Building quality control index (0-15),..,..,..,..,..,..,..,..,..,6,6,6
Antigua and Barbuda,Cost – Women (% of income per capita),12.5,12,11.3,11.1,9.2,10.5,12,10.5,10,9.8,9.5,9.4
Antigua and Barbuda,Cost to build a warehouse (% of income per capita),0.6,0.6,0.5,0.5,0.4,0.5,0.6,0.5,0.5,0.5,0.4,0.4
Antigua and Barbuda,Cost to enforce a contract (% of claim),27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1
Antigua and Barbuda,Cost to export: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,121,121,121
Antigua and Barbuda,Cost to get electricity (% of income per capita),..,..,..,..,116.4,132.2,150.1,131.3,126.2,122.9,118.8,117.6
Antigua and Barbuda,Cost to import (deflated US$ per container),..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Cost to import: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,132,132,100
Antigua and Barbuda,Cost to register property (% of property value),12,11.5,10.9,10.9,10.8,10.9,10.9,10.9,10.8,10.8,10.8,10.8
Antigua and Barbuda,Cost to start a business (% of income per capita),12.5,12,11.3,11.1,9.2,10.5,12,10.5,10,9.8,9.5,9.4
Antigua and Barbuda,Credit: Strength of legal rights index (0=weak to 10=strong),..,..,..,..,..,..,..,..,5,5,5,5
Antigua and Barbuda,Creditor participation index (0-4),..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Depth of credit information index (0=low to 6=high),..,..,..,..,..,..,..,..,0,0,0,0
Antigua and Barbuda,Ease of doing business index (1=easiest to 185=most difficult),..,..,..,..,..,..,..,..,..,..,107,113
Antigua and Barbuda,Ease of shareholder suits index (0 to 10),..,..,..,..,..,..,..,..,8,8,8,8
Antigua and Barbuda,Extent of conflict of interest regulation index (0-10),..,..,..,..,..,..,..,..,6.7,6.7,6.7,6.7
Antigua and Barbuda,Extent of corporate transparency index (0-9),..,..,..,..,..,..,..,..,3,3,3,3
Antigua and Barbuda,Extent of director liability index (0 to 10),8,8,8,8,8,8,8,8,8,8,8,8
Antigua and Barbuda,Extent of disclosure index (0 to 10),4,4,4,4,4,4,4,4,4,4,4,4
Antigua and Barbuda,Extent of shareholder governance index (0-10),..,..,..,..,..,..,..,..,4,4,4,4
Antigua and Barbuda,Extent of shareholder rights index (0-10.5),..,..,..,..,..,..,..,..,4,4,4,4
Antigua and Barbuda,Labor tax and contributions (%),..,..,..,..,..,..,..,..,9.5,10.3,10.7,10.7
Antigua and Barbuda,Minimum paid-in capital required to start a business (% of income per capita),0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Other taxes (%),..,..,..,..,..,..,..,..,..,5.3,5.3,5.3
Antigua and Barbuda,Outcome (0 as piecemeal sale and 1 as going concern),..,..,..,..,..,..,0,0,0,0,0,0
Antigua and Barbuda,Postfiling index (0-100),..,..,..,..,..,..,..,..,..,..,49.1,49.1
Antigua and Barbuda,Private credit bureau coverage (% of adults),0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Procedures required to build a warehouse (number),13,16,16,16,16,16,16,16,16,16,16,16
Antigua and Barbuda,Procedures required to connect to electricity (number),..,..,..,..,4,4,4,4,4,4,4,4
Antigua and Barbuda,Procedures required to enforce a contract (number),..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Procedures required to register property (number),6,6,6,6,6,7,7,7,7,7,7,7
Antigua and Barbuda,Procedures required to start a business - Women (number),9,9,9,9,9,9,9,9,9,9,9,9
Antigua and Barbuda,Procedures required to start a business (number),9,9,9,9,9,9,9,9,9,9,9,9
Antigua and Barbuda,Profit tax (%),51.5,47.6,46.2,46.2,41,41,41,41,40.9,41.6,41.9,41.9
Antigua and Barbuda,Public credit registry coverage (% of adults),0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Quality of the land administration index (0-30),..,..,..,..,..,..,..,..,..,19,19,19
Antigua and Barbuda,Reliability of supply and transparency of tariff index (0-8),..,..,..,..,..,..,..,..,..,5,5,5
Antigua and Barbuda,Resolving Insolvency: cost (% of estate),7,7,7,7,7,7,7,7,7,7,7,7
Antigua and Barbuda,Resolving Insolvency: recovery rate (cents on the dollar),33.2,33.2,35.3,35.5,35.5,36.7,35,35.2,35.9,36.1,36,36.2
Antigua and Barbuda,Strength of governance structure index (0-10.5),..,..,..,..,..,..,..,..,4,4,4,4
Antigua and Barbuda,Strength of insolvency framework index (0-16),..,..,..,..,..,..,..,..,5,5,5,5
Antigua and Barbuda,Strength of investor protection index (0 to 10),..,..,..,..,..,..,..,..,5.3,5.3,5.3,5.3
Antigua and Barbuda,Tax payments (number),45,45,45,57,57,57,57,57,57,57,57,57
Antigua and Barbuda,Time required to build a warehouse (days),124,110,110,110,110,110,110,110,110,110,110,110
Antigua and Barbuda,Time required to connect to electricity (days),..,..,..,..,42,42,42,42,42,42,42,42
Antigua and Barbuda,Time required to enforce a contract (days),351,351,351,351,351,351,351,476,476,476,476,476
Antigua and Barbuda,Time required to register property (days),25,25,25,25,25,25,25,25,25,25,39,108
